id,Population,Area (km2),Population/km2,ESA (000s),JSA (000s),IS (000s),Total (000s),% on benefits,People on benefits/km2
E14000719,114331,189,605,0.44,2.19,0.3,2.93,2.562734516,16
E14000720,140813,9,15646,1.68,5.96,1.84,9.48,6.732332952,1053
E14000721,132713,10,13271,2.03,6.59,2.01,10.63,8.009765434,1063
E14000722,89103,30,2970,1.11,3.2,0.98,5.29,5.936949373,176
E14000723,104712,58,1805,1.51,5.03,1.1,7.64,7.296202918,132
E14000724,88921,457,195,0.25,1.71,0.3,2.26,2.541581854,5
E14000725,96659,62,1559,0.96,4.6,0.24,5.8,6.0004759,94
E14000726,115374,11,10489,1.05,4.25,0.78,6.08,5.269818157,553
E14000727,141504,13,10885,1.11,4.48,1.31,6.9,4.876187246,531
E14000728,104253,205,509,0.51,2.33,0.23,3.07,2.944759383,15
E14000729,96678,80,1208,1.11,3.14,0.77,5.02,5.192494673,63
E14000730,100541,148,679,0.23,2.14,0.09,2.46,2.446763012,17
E14000731,108189,24,4508,0.59,2.38,0.54,3.51,3.244322436,146
E14000732,108643,18,6036,0.64,2.73,0.71,4.08,3.755419125,227
E14000733,92817,98,947,1.61,4.72,1.05,7.38,7.951129642,75
E14000734,93710,421,223,0.64,2.49,0.44,3.57,3.80962544,8
E14000735,110838,183,606,1.36,5.8,0.62,7.78,7.019253325,43
E14000736,94380,71,1329,1.12,3.51,0.61,5.24,5.552023734,74
E14000737,125972,45,2799,1.51,3.63,1.2,6.34,5.032864446,141
E14000738,80482,58,1388,0.47,2.64,0.32,3.43,4.261822519,59
E14000739,105387,104,1013,0.92,2.94,0.7,4.56,4.326909391,44
E14000740,96407,150,643,1.2,5.38,0.64,7.22,7.489082743,48
E14000741,137424,31,4433,1.07,3.7,0.97,5.74,4.176854116,185
E14000742,98363,684,144,0.33,1.42,0.19,1.94,1.972286327,3
E14000743,100459,724,139,0.69,3.3,0.35,4.34,4.320170418,6
E14000744,113404,157,722,0.52,2.19,0.38,3.09,2.724771613,20
E14000745,103528,101,1025,0.67,2.59,0.5,3.76,3.631867707,37
E14000746,76616,2440,31,0.36,1.69,0.29,2.34,3.054192336,1
E14000747,105936,73,1451,1.26,5.44,0.76,7.46,7.041987615,102
E14000748,91662,540,170,0.57,3.18,0.39,4.14,4.516593572,8
E14000749,103351,256,404,0.42,1.6,0.39,2.41,2.331859392,9
E14000750,150151,13,11550,1.65,6.87,1.36,9.88,6.580042757,760
E14000751,109058,58,1880,0.94,2.75,0.77,4.46,4.089567019,77
E14000752,132852,16,8303,1,4.31,1.27,6.58,4.952879896,411
E14000753,110099,344,320,0.39,2.17,0.33,2.89,2.624910308,8
E14000754,87977,66,1333,1.46,4.94,1.02,7.42,8.434022529,112
E14000755,102792,24,4283,0.67,4.05,0.71,5.43,5.282512258,226
E14000756,99648,47,2120,1.27,4.89,1.46,7.62,7.646917148,162
E14000757,118317,335,353,0.72,2.84,0.33,3.89,3.28777775,12
E14000758,92320,90,1026,1.03,5.1,0.63,6.76,7.322357019,75
E14000759,108704,29,3748,0.7,2.72,0.66,4.08,3.753311746,141
